English,South Azerbaijani,Evaluation,Fine-grained evaluation,Error severity,Corrected South Azerbaijani translation
"While authorities are unsure of the credibility of the threat, the Maryland Transportaion Authority made the closure with the urging of the FBI.",مسئوللارتهدیدناعتبارنانمطمئندیللرامامریلندحملونقلسازمانیFBIسازماننافشارگتماقنانبحثیقورتالدی.,,,,
Dump trucks were used to block tube entrances and assistance of 80 police were on hand to direct motorists to detours.,آشغال کامیولاری لوله لرین ورودی سین بالاماقنا استفاده اولوندولار و ۸۰ پلیس آمادیدلر موتورسوارلاری انحرافی یولا هدایت ائلسیننر.,,,,
"There were no heavy traffic delays reported on the beltway, the city's alternate route.",کمربندیدهکیشهرینجایگزینمسیریدیآقرترافیکتاخیریگزارشالونمادی.,,,,
Nigeria previously announced it planned to join the AfCFTA in the week leading up to the summit.,نیجریهقبلااعلامالدیکیاوهفتهدهکیاُجایتشردیایسدیردی AfCFTA(افریقاننقارهایازادتجارتمنطقهسی) نهقنوشا.,,,,
AU trade and industry commissioner Albert Muchanga announced Benin was to join.,سوریه نین ارتشی ایلین آخر هفته سینده باب عمر محله سینه حمله ائلدی و شدید خشونت اوردا انجام اولدی.,,,,
"The commissioner said, ""We haven't yet agreed on rules of origin and tariff con[c]essions, but the framework we have is enough to start trading on July 1, 2020"".","رئیسددی""بیزهلهاصلیقانونلارنانتعرفهامتیازلارینبارهسیندهتوافقایتیشممشقاماچارچوبکیوارمزدی2020جولاین1 ایندهایشیباشلاماقاکافیدی"".",,,,
"The station maintained its attitude, despite the loss of a gyroscope earlier in the space station mission, until the end of the spacewalk.",ایستگاه فضایی ایستگاهن ماموریتین اولیه بیر ژیروسکوپن الدن گتماقین وجودینن، ایستگاه فضایی راه پیمایی نن آخرنه جان موقعیتن حفظ ائلدی.,,,,
Chiao and Sharipov reported being a safe distance from the attitude adjustment thrusters.,چاونانشاریپوگزارشوردلرکیموقعیتتنظیمالینرانشگرلردنایمنفاصلهنیحفظالیپلر.,,,,
Russian ground control activated the jets and normal attitude of the station was regained.,روسیهنینزمینیکنترلجتلریفعالالدیوایستگاهنرمالموقعیتینالهگتدی.,,,,
"The case was prosecuted in Virginia because it is the home to the leading internet service provider AOL, the company who instigated the charges.",بوپروندهویرجینیاداچیگیریالموشدیچوناورااصلیاینترنتخدماتیارائهالینAOLشرکتینمبدادی. بوشرکتبواتهاملاریووردی.,,,,
"This is the first time a conviction has been gained using the legislation enacted in 2003 to curb bulk e-mail, aka spam, from unsolicited distribution into users mailboxes.",۲۰۰۳ ده بیر قانون تصویب اولدی کی اونا گوره جمعی ایمیل یا اسپم لر، گره ناخواسته صورتده کاربرلرین پستی صندوقلارنا پخش المیه. بو اول دفعه دی کی بیر محاکمه بو قانوننان استفاده الماقنان اثبات الوپ.,,,,
21-year-old Jesus joined Manchester City last year in January 2017 from Brazilian club Palmeiras for a reported fee of £27 million.,21 یاشندامسیحگچنایل2017 ژانویهسیندهبرزیللیباشگاهپالمیراسدان27 میلیونپوندقیمتننمنچسترسیتیتیمنهقنوشدی.,,,,
"Since then, the Brazilian has featured in 53 matches for the club in all competitions and has scored 24 goals.",برزیللی اوواخدان رقابت لرین هاممسندا ۵۳ مسابقه ده باشگاها اوینییپدی و ۲۴ گل ووروپدی.,,,,
Dr. Lee also expressed his concern about reports that children in Turkey have now become infected with the A(H5N1) avian influenza virus without becoming ill.,دکترلیهابلهددیگزارشلردنکیاوشاخلارایندیترکیهدهنوعA(H5N1) انفولانزاویروسنامبتلاالوپلارامانخوشلامیپلرنگراندی.,,,,
"Some studies suggest that the disease must become less lethal before it can cause a global epidemic, he noted.",اوددینچهمطالعهگئورسدیپکیبیرجهانیپاندمینیباشلاماخدانقاباخگرهداداآزکشندهاولا.,,,,
There is concern that patients may continue to infect more people by going through their daily routines if the flu symptoms remain mild.,بو نگرانچلق واردی کی ایه انفولانزا علائمی خفیف قالا مریضلر روزمره ایشلرین انجام ورماقنان داها چوخ آداملاری نخوشلاداجاخلار,,,,
"Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.",لزلیآن،کومنسازمانینسخنگوسیددیبوسازمانبیرتازاقانونتصویبالیپکیاجازهورمراوشرکتلرهکیاولاردانقانونیتحقیقالورامتیازیابودجهوریله.,,,,
Komen's policy disqualified Planned Parenthood due to a pending investigation on how Planned Parenthood spends and reports its money that is being conducted by Representative Cliff Stearns.,کومننسیاستیپلندپرنتهودیصلاحیتسیزبولدیچوننمایندهکلیفاسترنزانونبارهسیندهکیپلندپرنتهودنجورپوللارنخشلیرواونیگزارشوریر،تحقیقانجاموریر.,,,,
"Stearns is investigating whether taxes are used to fund abortions through Planned Parenthood in his role as chairman of the Oversight and Investigations Subcommittee, which is under the umbrella of the House Energy and Commerce Committee.",استرنزکیتحقیقننبررسیفرعیکمیتهسینرئیسیدیکیاوداتجارتنناولرینانرژیسینکمیتهسینجزویدی،بررسیالیرکیایاپلندپرنتهودطریقینن،مالیات،سقطالماقنبودجهسینتامینالماقنااستفادهالوپیایُخ.,,,,
Former Massachusetts governor Mitt Romney won the Florida Republican Party presidential primary election on Tuesday with over 46 percent of the vote.,ماساچوستنقاباخکیفرمانداریمیترامنیپنجشنبهفلوریداننجمهوریخواهحزبینمقدماتیریاستینانتخاباتندارایلرین46 درصددنچخیننبرندهاولدی.,,,,
Former U.S. Speaker of the House Newt Gingrich came in second with 32 percent.,ایالاتمتحدهنینقاباخکیمجلسسخنگوسینوتگینگریچ32 درصدننایکیمینجیالدی.,,,,
"As a winner-takes-all state, Florida awarded all fifty of its delegates to Romney, pushing him ahead as the front-runner for the Republican Party nomination.",فلوریدیکیبیرایالتدیکیاوندابرندهنمایندهلرینهامسناپارار،اللینمایندهسینهاممسنرامنیهوردیواونیجمهوریخواهحزبیننامزدلقنداپیشتازعنوانناقاباقااپاردی.,,,,
"Organisers of the protest said about 100,000 people turned up in German cities such as Berlin, Cologne, Hamburg, and Hanover.",تظاهراتنبرگزارالیننریدیللرکیتقریبا100000 نفرالمانن،برلین،کلن،هامبورگنانهانوفرشهرلریندهشرکتالدلر.,,,,
"In Berlin, police estimated 6,500 protestors.",نفر تخمین ووردی 6500. برلینده پلیس تظاهرات الینلرین تعدادن,,,,
"Protests also took place in Paris, Sofia in Bulgaria, Vilnius in Lithuania, Valetta in Malta, Tallinn in Estonia, and Edinburgh and Glasgow in Scotland.",هابله پاریسده، صوفیه ده بلغارستاندا، ویلنیوس لیتوانیدا، والتا مالتادا، تالیت استونیدا، و ادینبرونان گلاسگو اسکاتلندده تظاهرات انجام اولدی.,,,,
"In London, about 200 people protested outside some major copyright holders' offices.",نفر نچه اصلی کپی رایت صاحبین دفترین اشیینده اعتراض الدیلر  200 لندنده تقریباً,,,,
"Last month, there were major protests in Poland when that country signed ACTA, which has led to the Polish government deciding not to ratify the agreement, for now.",ای امضا الدی، نچه مهم تظاهرات واریدی که باعث اولدی لهستان دولتی تصمیم توتا فعلا قراردادی تصویب المیه ACTA گچن آی، اوواخ کی لهستان,,,,
