English,Jinghpaw,Evaluation,Fine-grained evaluation,Error severity,Corrected Jinghpaw translation
The water molecules make an invisible skin on the water’s surface that allows things like the needle to float on top of the water.,Hka bungshi ni gaw samit zawn re arai ni hpe hka ntsa waw taw shangun lu ai baw hka ntsa man kaw na nmu lu ai hpyi ni hpe galaw ya ai re.,,,,
"The blade on a modern ice skate has a double edge with a concave hollow between them. The two edges allow for a better grasp of the ice, even when tilted.","Ya prat na hkyen pa din hkyepdin ni a ningshang hta nten lahkawng lawm nna, shanhte a ka'ang hta e hku zawn re lawm chye ai. Ndai nten lahkawng gaw hkyen pa ntsa e ding yau mat yang pi n galau hkra magra da ya lu ai.",,,,
"Because the bottom of the blade is slightly curved, as the blade tilts to one side or the other, the edge which is in contact with the ice also curves.","Nhtu a htum pa maga gaw magaw taw ai majaw, nhtu a lahkawng yan maga nchyan de, ndung gaw hkyen hte hkra taw ai majaw magaw taw nga ai.",,,,
"This causes the skater to turn. If the skates tilt to the right, the skater turns right, if the skates tilt to the left, the skater turns left.","Ndai a majaw leng jawn ai wa gayin mat ai re. Lama na leng jawn ai wa gaw lahkra maga she gayin yang gaw hkra maga de sa mat na re, lama na lapai maga de gayin ai rai yang pai maga de yawng mat na re.",,,,
"To return to their previous energy level, they must get rid of the extra energy they got from the light.",Kaja ai ngun level bai lu na matu shanhte gaw wan kaw na lu ai jan taw ai ngun ni hpe shayen kau ra na re.,,,,
"They do this by emitting a tiny particle of light called a ""photon"".",Dai hpe shanhte gaw sumla ngu ai wan kaw na kaji ai ayun ya ni hpe shapraw nna galaw wa ai.,,,,
"Scientists call this process ""stimulated emission of radiation"" because the atoms are stimulated by the bright light, causing the emission of a photon of light, and light is a type of radiation.","Hpaji rawng ni gaw dai lam hpe radio shapraw na matu ngun jaw ai ngut shaga ma ai hpamajaw nga yang atom ni hpe wan ni kaw na ngun kaw ai, wan na photon shapraw ai hpe byin shangun ai majaw re ngut nna wan gaw radio myu mi re.",,,,
"The next picture shows the atoms emitting photons. Of course, in reality photons are a lot smaller than those in the picture.","Dai laga sumla gaw atom shapraw ai lam hpe madun ai re. kaja nang yang, photon ni gaw dai kaw madun da ai hta grau kaji ai re.",,,,
Photons are even smaller than the stuff that makes up atoms!,Photo ni gaw atom hpe galaw ai ri ni hta grau kaji ai re.,,,,
After hundreds of hours of operation the filament in the bulb eventually burns out and the light bulb no longer works.,Hking latsa hku bungli galaw ngut ai hpang wan pu kaw na wan sumri ni gaw hkru wa ai ngut nna wan pu mung bungli ngalaw mat sai.,,,,
The light bulb then needs replacing. It is necessary to be careful in replacing the light bulb.,Ndai wan pu hpe galai kau ai lam galaw ya ra sai. Wan pu galai ai shaloi sadi sahka ai la gaw ahkyak la nga ai.,,,,
"First, the switch for the light fixture needs to be turned off or the cable disconnected.","Shawng nnan, wan hkalok hpe byeng mayu yang wan shawng sat kau u dai nrai wan sumri hpe shawng dik kau u.",,,,
This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.,Dai gaw wan ngun gaw wan pu kaw na gumhpaw de sa wa nna wan ngu hpe jaw ai majaw re nang dai socket kata kaw na gumhpraw hpe sa jum yang dai kaw wan ngun naw nga taw na re.,,,,
"The major organ of the circulatory system is the heart, which pumps the blood.","Hkum kaw na sai hpe gayin ya ai gaw salum re, shi gaw dsai hpe tu ya ai re.",,,,
Blood goes away from the heart in tubes called arteries and comes back to the heart in tubes called veins. The smallest tubes are called capillaries.,Salum kaw na tube kata sai hkawm mat ai hpe sai dat lasa ngu tsun nna tube kata hku salum de bai wa ai hpe sai ginhtan lasa ngu tsun ai. Grai kaja ai tube ni hpe gaw kara zawn grai kaji ai sai lam ni ngu ai.,,,,
A triceratops' teeth would have been able to crush not only leaves but even very tough branches and roots.,Triceratop a wa gaw namlap sha nre hpun hte aru ni hpe ma dang gawa ai re.,,,,
"Some scientists think Triceratops ate cycads, which are a type of plant that was common in the Cretaceous.",Hpungtang hpaji ninghkring ni gaw cycads ngu mying ai Cretaceous kaw mu mada lu ai hpun ni hpe Triceratop ni sha ma ai ngu shadu ma ai.,,,,
"These plants look like a small palm tree with a crown of sharp, spiky leaves.","Ndai hpun ni gaw lap masen ai, jan mau hkrang zawn re namhtan hpun kaji zawn san ai.",,,,
A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.,Triceratop ni gaw dai hpun mat hpe nsha shi yang alap ni hpe shi ngup masen hte yeng kau lu ai.,,,,
"Other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them, even though today the sloth and other animals like the parrot (a descendant of the dinosaurs) can eat poisonous leaves or fruit.","Kaga hpungtang hpaji ninghkring ni dang rang ai lam gaw ndai hpun ni gaw gung grai rawng ai baw rai nga ai, dai majaw ndai prat hta na sangang ni hte hkai ke (moi prat na dusat ni kaw na yu hkrat wa ai) zawn re ai kaga dusat ni gung rawng ai namlap namsi ni hpe sha ai raitim pyi moi prat na dusat ni shanhte hpe sha lai wa ai lam gaw nau nmai byin na re.",,,,
"How would Io's gravity pull on me? If you stood on the surface of Io, you would weigh less than you do on Earth.","Lo a ginding aga gang n-gun gara hku na ngai hpe gang da ai kun? Lama nang lo ntsa man hta tsap yang, Mungkan ga kaw nga ai hta joi si grai tsang na ra ai.",,,,
"A person who weighs 200 pounds (90kg) on Earth would weigh about 36 pounds (16kg) on Io. So the gravity, of course, pulls less on you.",Mungkan ga kaw pound 200 (90kg) li ai masha gaw lo kaw pound 36 (16kg) sha li ai. Dai majaw ginding ga n-gun nang hpe nau n-gang da lu ai.,,,,
"The Sun doesn't have a crust like the Earth that you can stand on. The whole Sun is made out of gases, fire, and plasma.","Jan kaw gaw mungkan ga kaw na jawn nang mai tsap ai ntsa lam n-nga ai. Jan yawng hpe gaw dat nsa, wan hte dat yi la n-gun bung ai dat nsa ni rau galaw da ai re.",,,,
The gas becomes thinner as you go farther from the center of the Sun.,Dat nsa gaw Jan ka'ang kaw na tsan magang grau hpa wa magang re.,,,,
"The outer-part we see when we look at the Sun is called the photosphere, which means ""ball of light"".","Jan hpe yu ai shaloi mu lu ai shinggan maga daw hpe gaw nhtoi shing ""photosphere"", nga ma ai. Nhtoi bawlung ngu mung lachyum mai shapraw nga ai.",,,,
"About three thousand years later, in 1610, Italian astronomer Galileo Galilei used a telescope to observe that Venus has phases, just as the moon does.","Shaning hkying masum na ai shaloi, 1610 ning hta, Itali amyu sha lamu shagan hpaji ninghkring wa Galileo Galilei gaw shata zawn sha Venus mung rawt jat taw ai lam hpe sumtsan yu myiset lang nna maram yu ai.",,,,
Phases happen because only the side of Venus (or of the Moon) facing the Sun is lighted. The phases of Venus supported the theory of Copernicus that the planets go around the Sun.,Byin yan ni gaw byin ai hpa majaw nga yang Venus (sh Shata) a maga mi de sha Jan htoi nga ai hpe man hkrum ai. Venus a byin yan ni gaw gintawng ni gaw Jan hpe shinggrup ai ngu ai Copernicus a myit ningmu hpe wa madi shadaw da ai.,,,,
"Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.","Bai shaning kachyi myi na mat ai hpang shaning 1639 kaw, Jeremiah Horrocks mying ai Englik hpungtang lamu hkam jak gawt masha gaw Venus a lai sa ai lam hpe bai mu sagawn la lu ai.",,,,
England had experienced a long period of peace after the reconquest of the Danelaw.,England gaw Dane ni uphkang ai upadi e bai padang dip la ngut ai kaw na sim sa ai aten galu hpe hkrum sha lai wa sai re.,,,,
However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.,"Kaning rai nme law, 991 ning hta Ethelred gaw lai wa sai Guthrum a shaning ladaw shaloi na hta grau kaba ai panglai damya ni hte hkrum hkra wa ai.",,,,
"This fleet was led by Olaf Trygvasson, a Norwegian with ambitions to reclaim his country from Danish domination.","Ndai chyang lawa ai hpung hpe Olaf Trygvasson kaw na woi awn ai, yaw shada lam kaba ai Norwegian wa gaw Danish ka'up tawn ai kaw na shi mungdan hpe bai hpyi la na matu re.",,,,
"After initial military setbacks, Ethelred was able to agree to terms with Olaf, who returned to Norway to try to gain his kingdom with mixed success.",Shawng na hpyen dap hpang de htingnut mat ai hpang Ethelred gaw Norway mungdan de bai wa nna shi a hkawhkam mungdan hpe lapran madang awng dang lam hte bai lu la na matu shakut taw nga ai Olaf hte myit hkrum lu ai.,,,,
Hangeul is the only purposely invented alphabet in popular daily use. The alphabet was invented in 1444 during the reign of King Sejong (1418 – 1450).,"Hangeul gaw mying gumhkawng ai shani shagu jai lang ai hta yaw shada nna gyin shalat da ai laika kanu re. Dai laika kanu hpe gaw hkawhkam Sejong uphkang ai shaning (1418-1450) lamang, shaning 1444 hta gyin shalat lai wa sai re.",,,,
King Sejong was the fourth king of the Joseon Dynasty and is one of the most highly regarded.,Sejong hkawhkam gaw Joseon hkaw dung ladaw a mali lang na hkawhkawm rai nna na chying hkungga ging ai hkawhkam langai rai nga ai.,,,,
"He originally named the Hangeul alphabet Hunmin Jeongeum, which means ""the correct sounds for the instruction of the people"".","Hangeul laika kanu hpe Hunmin Jeongeum ngu nna mying jaw dat ai, lachyum gaw ""masha ni a matsun madun lam a matu jaw ai nsen ni"" rai nga ai.",,,,
There are many theories to how Sanskrit came into existence. One of them is about an Aryan migration from the west into India who brought their language with them.,"Sanskrit gara hku nga nga wa ai lam hte seng nna myit jasat ai lam grai law wa myi nga ai. Shanhte kaw na langai myi gaw, sinna kaw na India de shanhte a a-ga ni hpe la wa ai Aryan buhkawmg htawtsit hpung langai a lam rai nga ai.",,,,
Sanskrit is an ancient language and is comparable to the Latin language spoken in Europe.,Sanskrit gaw moi na aga langai re nna dai hpe Uropa a Latin aga hte mai shingdaw yu ai.,,,,
"The earliest known book in the world was written in Sanskrit. After the compilation of Upanishads, Sanskrit just faded due to hierarchy.","Mungkan hta jau dik htum ai ngu chye lu ai laika buk hpe Sanskrit hku ka da ai re. Upanishad rau pawng ngut ai hpang kaw na gaw, aya nem tsaw madang hkan ai masa a majaw Sanskrit gaw hkoi mat lai wa ai re.",,,,
"Sanskrit is a very complex and rich language, which has served to be the source for many modern Indian languages, just like Latin is the source for European languages like French and Spanish.","Sanskrit ga gaw prat dep Kala ga hpan law law a npawt mahta ai ga, ga si grai law ai hte hkum ai a ga langai re, French hte Spanish ga zawn sha Uropa dan a ga hpan npawt madung re nga ai Latin ga zawn sha re.",,,,
"With the battle for France over, Germany began to get ready to invade the island of Britain.",Germani mungdan gaw France mungdan hte majan kasat ngut ai hpang Britain mungdan a zunlawng de hpyen n-gun hte shang na matu shajin ma ai.,,,,
"Germany code-named the attack “Operation Sealion”. Most of the British Army's heavy weapons and supplies had been lost when it evacuated from Dunkirk, so the army was fairly weak.","Germany ni gaw dai hpe Operation Sealion ngu shamying ma ai. Dia hpe Dunkirk kaw na yen kau ai shaloi British hpyen dap na lengnak kaba ni law malawng hten mat ai, dai majaw dai hpyen dap ni gaw chyi mi ngun yawm mat ai.",,,,
But the Royal Navy was still much stronger than the German Navy (“Kriegsmarine”) and could have destroyed any invasion fleet sent across the English Channel.,"Raitim Hkawhkam amyu a Hka dap gaw German hka dap (""Kriegsmarine"") hta grau n-gun ja ai majaw Inglik maga de shana nna shang gasat na matu nmai byin chye ai.",,,,
"However, very few Royal Navy ships were based near the likely invasion routes as the admirals were afraid they would be sunk by German air attack.","Kaning nga tim, shanhte a ningbaw ni gaw German ni a pyenli hte htim gasat na hpe hkrit ai majaw, Hkawhkam Amyu Hka dap sanghpaw ni hpe hpyen htim mai ai lam kaw loi mi shada da ma ai.",,,,
"Let's start with an explanation about Italy's plans. Italy was mainly the ""little brother"" of Germany and Japan.","Italy a masing ni hpe sanglang dan ai lam kaw na shawng hpang wa ga. Italy gaw Germany hte Japan a madung hku na ""kanau kaji"" rai lai wa sai.",,,,
"It had a weaker army and a weaker navy, although they had just built four new ships right before the beginning of the war.",Shanhte ni majan hpang ai hte sanghpaw nnan mali gaw shachyaw ngut ai rai tim shanhte kaw grau n-gun nrawng ai hpyen dap hte hka dap hpe lu lai wa sai.,,,,
"Italy's main goals were African countries. To capture those countries, they would need to have a troop launching pad, so as troops could sail across the Mediterranean Sea and invade Africa.",Italy ni a awngdan ai lam gaw African mungdan ni kaw re. dai mungdan ni hpe shanhte gaw masha law law hte Mediterranean panglai hpe lai nna Africa hpe aup hkang na re.,,,,
"For that, they had to get rid of British bases and ships in Egypt. Besides those actions, Italy's battleships were not supposed to do anything else.","De a matu, shanhte gaw British sanghpaw ni, daru ni hpe Egutu kaw na shapraw kau ra na. Dai hku hkrang shapraw ai hta, Itali a hpyen sanghpaw ni hpe hpa nan nmai galaw ai.",,,,
"Now for Japan. Japan was an island country, just like Britain.",Ya na Japan mung gaw panglai kata na Britain zawn re ai zinlawng mungdan kaji langai re.,,,,
"Submarines are ships designed to travel underwater, and remain there for an extended amount of time.","Hka npu kaw chye hkawm ai sanghpaw ni gaw hka kata hkawm na matu shapraw da ai sanghpaw ni re, ngut na ngam ai aten ni hta gaw dai kaw nga nga na matu re.",,,,
Submarines were used in World War I and World War II. Back then they were very slow and had a very limited shooting range.,Hka shang sanghpaw ni hpe Mungkan Majan I hte II hta lang ma ai. Dai ten ni hta dai ni gaw grai naw lanyan nna tsan de gap shading ai lam mung shadawn sharam de naw re.,,,,
"In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.","Majan shawng maga de gaw shanhte ni panglai ntsa hku sha malawng hkrun lam hkawm ai, raitim radar hpe gin shalat hpang wa ai hte grau tup hkrak byin wa ai hte gaw hka shang sanghpaw ni hpe hka kata nmu lu shangun mayu ai majaw lang shaja wa ma ai.",,,,
